Information listing created by	User
Date	10-Dec-2023 23:25:06
Current work part	C:\Users\User\Desktop\Nx\Malhas Base\Tri3\GeometriaBase_Tri3_fem.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  1                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 71 25 26
  2                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 37 41 36
  3                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 75 39 9
  4                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 75 40 39
  5                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 37 42 41
  6                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 42 10 38
  7                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 42 37 10
  8                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 42 40 41
  9                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 39 42 38
  10                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 39 40 42
  11                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 33 43 32
  12                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 73 33 74
  13                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 73 30 33
  14                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 43 30 31
  15                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 43 33 30
  16                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 32 40 75
  17                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 32 43 40
  18                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 44 36 41
  19                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 8 44 31
  20                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 8 36 44
  21                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 44 43 31
  22                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 43 41 40
  23                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 43 44 41
  24                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 50 14 15
  25                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 14 52 13
  26                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 52 50 51
  27                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 52 14 50
  28                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 12 53 11
  29                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 13 12 2
  30                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 53 13 52
  31                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 53 12 13
  32                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 11 68 1
  33                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 11 53 68
  34                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 51 53 52
  35                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 51 68 53
  36                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 49 55 48
  37                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 54 49 17
  38                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 54 55 49
  39                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 51 18 68
