# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
135
1 0 0
2 0 800
3 1000 800
4 1800 0
5 1600 800
6 2200 0
7 2400 800
8 3000 800
9 4000 0
10 4000 800
11 0 266.6667
12 0 533.3333
13 309.2488 800
14 593.585 800
15 822.6058 800
16 1581.4593 0
17 1009.9062 0
18 704.9531 0
19 1040.1937 650.0008
20 1150.0008 540.1937
21 1449.9992 540.1937
22 1559.8063 650.0008
23 2141.4214 141.4214
24 1858.5787 141.4213
25 1808.6737 800
26 2086.2192 800
27 2421.9961 574.4974
28 2469.786 415.356
29 2555.8726 273.7332
30 2868.0657 303.0508
31 2969.7653 537.5681
32 3387.589 0
33 3036.4693 0
34 2495.4183 0
35 2342.1523 0
36 3318.8543 800
37 3659.4272 800
38 4000 533.3333
39 4000 266.6667
40 3597.6993 283.0281
41 3461.2278 561.6902
42 3778.7275 541.6412
43 3215.6132 327.2219
44 3192.3348 607.3984
45 2278.4778 457.2047
46 2139.3448 294.6757
47 1910.9844 302.1099
48 1211.8142 442.6401
49 1183.9644 263.5824
50 715.4369 574.3416
51 583.2349 317.2487
52 502.2691 582.7323
53 295.1424 419.031
54 881.5645 320.4635
55 1063.5437 476.5112
56 919.5826 608.4391
57 1363.6805 403.0521
58 1453.5176 220.3611
59 1576.5441 438.5685
60 1716.851 612.0996
61 1778.4781 422.6486
62 1707.0838 218.6236
63 2240.4464 634.9786
64 2359.4413 286.1728
65 2271.2807 141.1008
66 2432.7079 136.4388
67 2574.7463 123.5392
68 400 0
69 1300 0
70 1300 500
71 2000 550
72 2000 200
73 2700.0001 200.0289
74 2700 0
75 3750 0
76 2000 -550
77 3597.6993 -283.0281
78 3461.2278 -561.6902
79 3778.7275 -541.6412
80 3215.6132 -327.2219
81 3192.3348 -607.3984
82 2278.4778 -457.2047
83 2139.3448 -294.6757
84 1910.9844 -302.1099
85 1211.8142 -442.6401
86 1183.9644 -263.5824
87 715.4369 -574.3416
88 583.2349 -317.2487
89 502.2691 -582.7323
90 295.1424 -419.031
91 881.5645 -320.4635
92 1063.5437 -476.5112
93 919.5826 -608.4391
94 1363.6805 -403.0521
95 1453.5176 -220.3611
96 1576.5441 -438.5685
97 1716.851 -612.0996
98 1778.4781 -422.6486
99 1707.0838 -218.6236
100 2240.4464 -634.9786
101 2359.4413 -286.1728
102 2271.2807 -141.1008
103 2432.7079 -136.4388
104 2574.7463 -123.5392
105 0 -266.6667
106 0 -533.3333
107 309.2488 -800
108 593.585 -800
109 822.6058 -800
110 1040.1937 -650.0008
111 1150.0008 -540.1937
112 1300 -500
113 1449.9992 -540.1937
114 1559.8063 -650.0008
115 2141.4214 -141.4214
116 2000 -200
117 1858.5787 -141.4213
118 1808.6737 -800
119 2086.2192 -800
120 2421.9961 -574.4974
121 2469.786 -415.356
122 2555.8726 -273.7332
123 2700.0001 -200.0289
124 2868.0657 -303.0508
125 2969.7653 -537.5681
126 3318.8543 -800
127 3659.4272 -800
128 4000 -533.3333
129 4000 -266.6667
130 0 -800
131 1000 -800
132 1600 -800
133 2400 -800
134 3000 -800
135 4000 -800
# Matriz de incidências/conectividades
204
1 1 3 71 25 26
2 1 3 37 41 36
3 1 3 75 39 9
4 1 3 75 40 39
5 1 3 37 42 41
6 1 3 42 10 38
7 1 3 42 37 10
8 1 3 42 40 41
9 1 3 39 42 38
10 1 3 39 40 42
11 1 3 33 43 32
12 1 3 73 33 74
13 1 3 73 30 33
14 1 3 43 30 31
15 1 3 43 33 30
16 1 3 32 40 75
17 1 3 32 43 40
18 1 3 44 36 41
19 1 3 8 44 31
20 1 3 8 36 44
21 1 3 44 43 31
22 1 3 43 41 40
23 1 3 43 44 41
24 1 3 50 14 15
