Information listing created by	User
Date	10-Dec-2023 21:43:42
Current work part	C:\Users\User\Desktop\Nx\geometria finalSim_fem3.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  1                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 8 45 37
  2                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 8 28 45
  3                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 42 28 29
  4                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 42 45 28
  5                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 43 44 36
  6                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 39 36 44
  7                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 39 10 36
  8                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 43 45 42
  9                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 37 43 36
  10                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 37 45 43
  11                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 47 29 30
  12                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 42 47 46
  13                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 42 29 47
  14                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 46 34 35
  15                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 138 30 137
  16                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 138 34 30
  17                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 47 34 46
  18                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 47 30 34
  19                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 48 46 35
  20                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 43 48 44
  21                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 46 43 42
  22                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 46 48 43
  23                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 139 48 35
  24                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 44 38 39
  25                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 44 48 38
  26                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 38 139 9
  27                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 38 48 139
  28                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 49 6 33
  29                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 41 49 40
  30                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 49 25 6
  31                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 49 41 25
  32                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 40 31 32
  33                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 49 31 40
  34                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 33 138 50
  35                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 137 50 138
  36                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 31 50 137
  37                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 50 49 33
  38                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 50 31 49
  39                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 41 136 25
  40                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 26 27 135
  41                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 14 56 13
  42                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 57 14 15
  43                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 56 57 55
  44                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 56 14 57
  45                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 12 132 58
  46                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 12 2 132
  47                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 58 55 57
  48                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 58 132 55
  49                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 58 11 12
  50                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 11 15 1
  51                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 15 58 57
  52                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 15 11 58
  53                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 16 55 132
  54                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 60 16 17
  55                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 60 55 16
  56                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 59 53 54
