    ID de Nó     Coord. X     Coord. Y     Coord. Z      Escalar
       18408   5.0475e-14   1.2903e+01   0.0000e+00  -1.2864e+01
       18409   4.5060e-14   2.5806e+01   0.0000e+00  -1.2864e+01
       18410   3.9644e-14   3.8710e+01   0.0000e+00  -1.2864e+01
       18411   3.4229e-14   5.1613e+01   0.0000e+00  -1.2864e+01
       18412   2.8814e-14   6.4516e+01   0.0000e+00  -1.2864e+01
       18413   2.3399e-14   7.7419e+01   0.0000e+00  -1.2864e+01
       18414   1.7984e-14   9.0323e+01   0.0000e+00  -1.2864e+01
       18415   1.2569e-14   1.0323e+02   0.0000e+00  -1.2864e+01
       18416   7.1544e-15   1.1613e+02   0.0000e+00  -1.2864e+01
       18417   1.7393e-15   1.2903e+02   0.0000e+00  -1.2865e+01
       18418  -3.6757e-15   1.4194e+02   0.0000e+00  -1.2865e+01
       18419  -9.0907e-15   1.5484e+02   0.0000e+00  -1.2865e+01
       18420  -1.4506e-14   1.6774e+02   0.0000e+00  -1.2865e+01
       18421  -1.9921e-14   1.8065e+02   0.0000e+00  -1.2866e+01
       18422  -2.5336e-14   1.9355e+02   0.0000e+00  -1.2866e+01
       18423  -3.0751e-14   2.0645e+02   0.0000e+00  -1.2866e+01
       18424  -3.6166e-14   2.1935e+02   0.0000e+00  -1.2867e+01
       18425  -4.1581e-14   2.3226e+02   0.0000e+00  -1.2867e+01
       18426  -4.6996e-14   2.4516e+02   0.0000e+00  -1.2868e+01
       18427  -5.2411e-14   2.5806e+02   0.0000e+00  -1.2868e+01
       18428  -5.7826e-14   2.7097e+02   0.0000e+00  -1.2868e+01
       18429  -6.3241e-14   2.8387e+02   0.0000e+00  -1.2869e+01
       18430  -6.8656e-14   2.9677e+02   0.0000e+00  -1.2869e+01
       18431  -7.4071e-14   3.0968e+02   0.0000e+00  -1.2870e+01
       18432  -7.9486e-14   3.2258e+02   0.0000e+00  -1.2870e+01
       18433  -8.4901e-14   3.3548e+02   0.0000e+00  -1.2871e+01
       18434  -9.0316e-14   3.4839e+02   0.0000e+00  -1.2871e+01
       18435  -9.5731e-14   3.6129e+02   0.0000e+00  -1.2872e+01
       18436  -1.0115e-13   3.7419e+02   0.0000e+00  -1.2872e+01
       18437  -1.0656e-13   3.8710e+02   0.0000e+00  -1.2873e+01
       18438  -1.1198e-13   4.0000e+02   0.0000e+00  -1.2873e+01
       18439  -1.1739e-13   4.1290e+02   0.0000e+00  -1.2873e+01
       18440  -1.2281e-13   4.2581e+02   0.0000e+00  -1.2874e+01
       18441  -1.2822e-13   4.3871e+02   0.0000e+00  -1.2874e+01
       18442  -1.3364e-13   4.5161e+02   0.0000e+00  -1.2875e+01
       18443  -1.3905e-13   4.6452e+02   0.0000e+00  -1.2875e+01
       18444  -1.4447e-13   4.7742e+02   0.0000e+00  -1.2876e+01
       18445  -1.4988e-13   4.9032e+02   0.0000e+00  -1.2876e+01
       18446  -1.5530e-13   5.0323e+02   0.0000e+00  -1.2877e+01
       18447  -1.6071e-13   5.1613e+02   0.0000e+00  -1.2877e+01
       18448  -1.6613e-13   5.2903e+02   0.0000e+00  -1.2878e+01
       18449  -1.7154e-13   5.4194e+02   0.0000e+00  -1.2878e+01
       18450  -1.7696e-13   5.5484e+02   0.0000e+00  -1.2879e+01
       18451  -1.8237e-13   5.6774e+02   0.0000e+00  -1.2879e+01
       18452  -1.8779e-13   5.8065e+02   0.0000e+00  -1.2879e+01
       18453  -1.9320e-13   5.9355e+02   0.0000e+00  -1.2880e+01
       18454  -1.9862e-13   6.0645e+02   0.0000e+00  -1.2880e+01
