    ID de Nó     Coord. X     Coord. Y     Coord. Z      Escalar
         743   0.0000e+00   2.6667e+02   0.0000e+00  -1.2852e+01
         744   0.0000e+00   5.3333e+02   0.0000e+00  -1.2842e+01
         745   0.0000e+00   8.0000e+02   0.0000e+00  -1.2837e+01
         746   0.0000e+00   1.0667e+03   0.0000e+00  -1.2842e+01
         747   0.0000e+00   1.3333e+03   0.0000e+00  -1.2852e+01
         748   0.0000e+00   6.6667e+02   0.0000e+00  -1.2839e+01
         749   0.0000e+00   9.3333e+02   0.0000e+00  -1.2839e+01
         750   0.0000e+00   1.2000e+03   0.0000e+00  -1.2847e+01
         751   0.0000e+00   1.4667e+03   0.0000e+00  -1.2855e+01
         752   0.0000e+00   4.0000e+02   0.0000e+00  -1.2847e+01
         753   0.0000e+00   1.3333e+02   0.0000e+00  -1.2855e+01
         754   8.6389e+02  -3.0969e-14   0.0000e+00  -1.1293e+01
         755   6.8816e+02  -1.8587e-14   0.0000e+00  -1.1550e+01
         756   4.7141e+02  -3.3146e-15   0.0000e+00  -1.1937e+01
         757   2.3571e+02   1.3294e-14   0.0000e+00  -1.2390e+01
         758   7.7602e+02  -2.4778e-14   0.0000e+00  -1.1411e+01
         759   9.3194e+02  -3.5765e-14   0.0000e+00  -1.1229e+01
         760   5.7979e+02  -1.0951e-14   0.0000e+00  -1.1738e+01
         761   3.5356e+02   4.9895e-15   0.0000e+00  -1.2161e+01
         762   1.1785e+02   2.1598e-14   0.0000e+00  -1.2622e+01
         763   2.3570e+02   1.6000e+03   0.0000e+00  -1.2390e+01
         764   4.7141e+02   1.6000e+03   0.0000e+00  -1.1937e+01
         765   6.8816e+02   1.6000e+03   0.0000e+00  -1.1550e+01
         766   8.6389e+02   1.6000e+03   0.0000e+00  -1.1294e+01
         767   9.3194e+02   1.6000e+03   0.0000e+00  -1.1228e+01
         768   5.7978e+02   1.6000e+03   0.0000e+00  -1.1738e+01
         769   7.7602e+02   1.6000e+03   0.0000e+00  -1.1411e+01
         770   1.1785e+02   1.6000e+03   0.0000e+00  -1.2622e+01
         771   3.5356e+02   1.6000e+03   0.0000e+00  -1.2161e+01
         772   1.5772e+03   1.1480e+02   0.0000e+00  -8.5123e+00
         773   1.5121e+03   2.1213e+02   0.0000e+00  -8.8294e+00
         774   1.4148e+03   2.7716e+02   0.0000e+00  -9.2974e+00
         775   1.3000e+03   3.0000e+02   0.0000e+00  -9.8368e+00
         776   1.1852e+03   2.7716e+02   0.0000e+00  -1.0366e+01
         777   1.0879e+03   2.1213e+02   0.0000e+00  -1.0808e+01
         778   1.0228e+03   1.1480e+02   0.0000e+00  -1.1101e+01
         779   1.5942e+03   5.8527e+01   0.0000e+00  -8.4297e+00
         780   1.5494e+03   1.6667e+02   0.0000e+00  -8.6490e+00
         781   1.4667e+03   2.4944e+02   0.0000e+00  -9.0502e+00
         782   1.3585e+03   2.9424e+02   0.0000e+00  -9.5640e+00
         783   1.2415e+03   2.9424e+02   0.0000e+00  -1.0108e+01
         784   1.1333e+03   2.4944e+02   0.0000e+00  -1.0602e+01
         785   1.0506e+03   1.6667e+02   0.0000e+00  -1.0973e+01
         786   1.0058e+03   5.8527e+01   0.0000e+00  -1.1172e+01
         787   1.0228e+03   1.4852e+03   0.0000e+00  -1.1099e+01
         788   1.0879e+03   1.3879e+03   0.0000e+00  -1.0808e+01
         789   1.1852e+03   1.3228e+03   0.0000e+00  -1.0366e+01
         790   1.3000e+03   1.3000e+03   0.0000e+00  -9.8361e+00
         791   1.4148e+03   1.3228e+03   0.0000e+00  -9.2973e+00
         792   1.5121e+03   1.3879e+03   0.0000e+00  -8.8281e+00
         793   1.5772e+03   1.4852e+03   0.0000e+00  -8.5099e+00
         794   1.2415e+03   1.3058e+03   0.0000e+00  -1.0107e+01
         795   1.4667e+03   1.3506e+03   0.0000e+00  -9.0493e+00
         796   1.3585e+03   1.3058e+03   0.0000e+00  -9.5633e+00
         797   1.1333e+03   1.3506e+03   0.0000e+00  -1.0601e+01
         798   1.0058e+03   1.5415e+03   0.0000e+00  -1.1174e+01
         799   1.0506e+03   1.4333e+03   0.0000e+00  -1.0973e+01
         800   1.5494e+03   1.4333e+03   0.0000e+00  -8.6463e+00
         801   1.5942e+03   1.5415e+03   0.0000e+00  -8.4278e+00
         802   2.1932e+03   8.5176e+02   0.0000e+00  -6.5520e+00
         803   2.1732e+03   9.0000e+02   0.0000e+00  -6.7088e+00
         804   2.1414e+03   9.4142e+02   0.0000e+00  -6.9376e+00
         805   2.1000e+03   9.7321e+02   0.0000e+00  -7.2061e+00
         806   2.0518e+03   9.9319e+02   0.0000e+00  -7.4896e+00
         807   2.0000e+03   1.0000e+03   0.0000e+00  -7.7729e+00
         808   1.8889e+03   9.6629e+02   0.0000e+00  -8.3516e+00
         809   1.8152e+03   8.7654e+02   0.0000e+00  -8.7432e+00
         810   1.8038e+03   7.6098e+02   0.0000e+00  -8.8058e+00
         811   1.8586e+03   6.5858e+02   0.0000e+00  -8.5122e+00
         812   1.9610e+03   6.0384e+02   0.0000e+00  -7.9796e+00
         813   2.0765e+03   6.1523e+02   0.0000e+00  -7.3501e+00
         814   2.1663e+03   6.8889e+02   0.0000e+00  -6.7627e+00
         815   2.1983e+03   8.2610e+02   0.0000e+00  -6.5110e+00
         816   2.1848e+03   8.7654e+02   0.0000e+00  -6.6200e+00
         817   2.1587e+03   9.2175e+02   0.0000e+00  -6.8167e+00
         818   2.1218e+03   9.5867e+02   0.0000e+00  -7.0689e+00
         819   2.0765e+03   9.8477e+02   0.0000e+00  -7.3472e+00
         820   2.0261e+03   9.9829e+02   0.0000e+00  -7.6319e+00
         821   1.9419e+03   9.9139e+02   0.0000e+00  -8.0756e+00
         822   1.8454e+03   9.2688e+02   0.0000e+00  -8.5793e+00
         823   1.8010e+03   8.1960e+02   0.0000e+00  -8.8192e+00
         824   1.8236e+03   7.0572e+02   0.0000e+00  -8.6968e+00
         825   1.9057e+03   6.2362e+02   0.0000e+00  -8.2650e+00
         826   2.0196e+03   6.0097e+02   0.0000e+00  -7.6695e+00
         827   2.1269e+03   6.4540e+02   0.0000e+00  -7.0388e+00
         828   2.1914e+03   7.4194e+02   0.0000e+00  -6.5701e+00
         829   2.1537e+03  -1.9358e-14   0.0000e+00  -7.6357e+00
         830   1.9257e+03   9.3562e-15   0.0000e+00  -8.0037e+00
         831   1.7415e+03   3.2569e-14   0.0000e+00  -8.2920e+00
         832   2.2768e+03  -3.4873e-14   0.0000e+00  -7.4972e+00
         833   2.0397e+03  -5.0007e-15   0.0000e+00  -7.8101e+00
         834   1.8336e+03   2.0963e-14   0.0000e+00  -8.1571e+00
         835   1.6707e+03   4.1479e-14   0.0000e+00  -8.3684e+00
         836   1.7415e+03   1.6000e+03   0.0000e+00  -8.2892e+00
         837   1.9257e+03   1.6000e+03   0.0000e+00  -8.0013e+00
         838   2.1537e+03   1.6000e+03   0.0000e+00  -7.6315e+00
         839   2.2768e+03   1.6000e+03   0.0000e+00  -7.4932e+00
         840   1.6707e+03   1.6000e+03   0.0000e+00  -8.3662e+00
         841   2.0397e+03   1.6000e+03   0.0000e+00  -7.8070e+00
         842   1.8336e+03   1.6000e+03   0.0000e+00  -8.1547e+00
         843   2.9785e+03   2.2289e+02   0.0000e+00  -1.6251e+00
         844   2.9252e+03   3.9636e+02   0.0000e+00  -2.0767e+00
         845   2.8528e+03   5.1622e+02   0.0000e+00  -2.7397e+00
         846   2.7560e+03   5.8938e+02   0.0000e+00  -3.7314e+00
         847   2.6365e+03   5.8646e+02   0.0000e+00  -5.0302e+00
         848   2.5416e+03   5.0970e+02   0.0000e+00  -6.0235e+00
         849   2.4720e+03   3.8992e+02   0.0000e+00  -6.7277e+00
         850   2.4210e+03   2.2049e+02   0.0000e+00  -7.2390e+00
         851   2.4421e+03   3.0653e+02   0.0000e+00  -7.0258e+00
         852   2.4051e+03   1.1075e+02   0.0000e+00  -7.3917e+00
         853   2.5027e+03   4.5217e+02   0.0000e+00  -6.4150e+00
         854   2.6960e+03   5.9992e+02   0.0000e+00  -4.3782e+00
         855   2.5845e+03   5.5384e+02   0.0000e+00  -5.5761e+00
         856   2.9947e+03   1.1197e+02   0.0000e+00  -1.4960e+00
         857   2.9565e+03   3.1106e+02   0.0000e+00  -1.8109e+00
         858   2.8090e+03   5.5892e+02   0.0000e+00  -3.1853e+00
         859   2.8932e+03   4.5885e+02   0.0000e+00  -2.3653e+00
         860   2.4215e+03   1.3771e+03   0.0000e+00  -7.2298e+00
         861   2.4748e+03   1.2036e+03   0.0000e+00  -6.6941e+00
         862   2.5472e+03   1.0838e+03   0.0000e+00  -5.9570e+00
         863   2.6440e+03   1.0106e+03   0.0000e+00  -4.9040e+00
         864   2.7635e+03   1.0135e+03   0.0000e+00  -3.7056e+00
         865   2.8584e+03   1.0903e+03   0.0000e+00  -2.7001e+00
         866   2.9280e+03   1.2101e+03   0.0000e+00  -2.0567e+00
         867   2.9790e+03   1.3795e+03   0.0000e+00  -1.6251e+00
         868   2.4053e+03   1.4880e+03   0.0000e+00  -7.3862e+00
         869   2.4435e+03   1.2889e+03   0.0000e+00  -7.0073e+00
         870   2.5068e+03   1.1411e+03   0.0000e+00  -6.3655e+00
         871   2.5910e+03   1.0411e+03   0.0000e+00  -5.4791e+00
         872   2.9579e+03   1.2935e+03   0.0000e+00  -1.8029e+00
         873   2.8973e+03   1.1478e+03   0.0000e+00  -2.3355e+00
         874   2.7038e+03   1.0091e+03   0.0000e+00  -4.2996e+00
         875   2.8155e+03   1.0462e+03   0.0000e+00  -3.1379e+00
         876   2.9949e+03   1.4892e+03   0.0000e+00  -1.4976e+00
         877   3.7500e+03  -1.2286e-14   0.0000e+00  -4.7359e-01
         878   3.5000e+03   5.3291e-15   0.0000e+00  -9.2018e-01
         879   3.2500e+03   2.2945e-14   0.0000e+00  -1.2871e+00
         880   3.8750e+03  -2.1094e-14   0.0000e+00  -2.3818e-01
         881   3.6250e+03  -3.4787e-15   0.0000e+00  -7.0257e-01
         882   3.3750e+03   1.4137e-14   0.0000e+00  -1.1190e+00
         883   3.1250e+03   3.1752e-14   0.0000e+00  -1.4063e+00
         884   3.2500e+03   1.6000e+03   0.0000e+00  -1.2888e+00
         885   3.5000e+03   1.6000e+03   0.0000e+00  -9.2194e-01
         886   3.7500e+03   1.6000e+03   0.0000e+00  -4.7407e-01
         887   3.6250e+03   1.6000e+03   0.0000e+00  -7.0363e-01
         888   3.8750e+03   1.6000e+03   0.0000e+00  -2.3849e-01
         889   3.3750e+03   1.6000e+03   0.0000e+00  -1.1206e+00
         890   3.1250e+03   1.6000e+03   0.0000e+00  -1.4090e+00
         891   4.0000e+03   1.3333e+03   0.0000e+00   0.0000e+00
         892   4.0000e+03   1.0667e+03   0.0000e+00   0.0000e+00
         893   4.0000e+03   8.0000e+02   0.0000e+00   0.0000e+00
         894   4.0000e+03   5.3333e+02   0.0000e+00   0.0000e+00
         895   4.0000e+03   2.6667e+02   0.0000e+00   0.0000e+00
         896   4.0000e+03   4.0000e+02   0.0000e+00   0.0000e+00
         897   4.0000e+03   1.3333e+02   0.0000e+00   0.0000e+00
         898   4.0000e+03   1.2000e+03   0.0000e+00   0.0000e+00
         899   4.0000e+03   9.3333e+02   0.0000e+00   0.0000e+00
         900   4.0000e+03   6.6667e+02   0.0000e+00   0.0000e+00
         901   4.0000e+03   1.4667e+03   0.0000e+00   0.0000e+00
         902   0.0000e+00   2.9902e-14   0.0000e+00  -1.2857e+01
         903   0.0000e+00   1.6000e+03   0.0000e+00  -1.2857e+01
         904   1.0000e+03  -4.0560e-14   0.0000e+00  -1.1201e+01
         905   1.0000e+03   1.6000e+03   0.0000e+00  -1.1200e+01
         906   1.6000e+03   5.0389e-14   0.0000e+00  -8.4012e+00
         907   1.6000e+03   1.6000e+03   0.0000e+00  -8.3997e+00
         908   2.2000e+03   8.0000e+02   0.0000e+00  -6.4966e+00
         909   2.4000e+03  -5.0389e-14   0.0000e+00  -7.4435e+00
         910   2.4000e+03   1.6000e+03   0.0000e+00  -7.4393e+00
         911   3.0000e+03   4.0560e-14   0.0000e+00  -1.4523e+00
         912   3.0000e+03   1.6000e+03   0.0000e+00  -1.4559e+00
         913   4.0000e+03  -2.9902e-14   0.0000e+00   0.0000e+00
         914   4.0000e+03   1.6000e+03   0.0000e+00   0.0000e+00
