    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   3.8249e+03   1.5503e+01   0.0000e+00  -2.1117e-06  -4.0836e-09   0.0000e+00   2.1117e-06
           3   3.7745e+03   1.5517e+01   0.0000e+00  -2.1273e-06  -5.5481e-09   0.0000e+00   2.1273e-06
           5   3.7218e+03   1.5526e+01   0.0000e+00  -2.1490e-06  -7.3174e-09   0.0000e+00   2.1491e-06
           7   3.6668e+03   1.5489e+01   0.0000e+00  -2.1786e-06  -9.4698e-09   0.0000e+00   2.1787e-06
           9   3.6116e+03   1.5428e+01   0.0000e+00  -2.2169e-06  -1.2078e-08   0.0000e+00   2.2169e-06
          11   3.5563e+03   1.5357e+01   0.0000e+00  -2.2657e-06  -1.5252e-08   0.0000e+00   2.2658e-06
          13   3.5010e+03   1.5309e+01   0.0000e+00  -2.3276e-06  -1.9179e-08   0.0000e+00   2.3276e-06
          15   3.4457e+03   1.5361e+01   0.0000e+00  -2.4053e-06  -2.4217e-08   0.0000e+00   2.4054e-06
          17   3.3904e+03   1.5595e+01   0.0000e+00  -2.5030e-06  -3.0854e-08   0.0000e+00   2.5032e-06
          19   3.3349e+03   1.5879e+01   0.0000e+00  -2.6260e-06  -3.9435e-08   0.0000e+00   2.6262e-06
          21   3.2793e+03   1.5955e+01   0.0000e+00  -2.7803e-06  -4.9704e-08   0.0000e+00   2.7808e-06
          23   3.2240e+03   1.5866e+01   0.0000e+00  -2.9731e-06  -6.1851e-08   0.0000e+00   2.9737e-06
          25   3.1688e+03   1.5788e+01   0.0000e+00  -3.2129e-06  -7.6712e-08   0.0000e+00   3.2138e-06
          27   3.1138e+03   1.5758e+01   0.0000e+00  -3.5105e-06  -9.4865e-08   0.0000e+00   3.5118e-06
          29   3.0588e+03   1.5755e+01   0.0000e+00  -3.8774e-06  -1.1624e-07   0.0000e+00   3.8791e-06
          31   3.0039e+03   1.5762e+01   0.0000e+00  -4.3234e-06  -1.3979e-07   0.0000e+00   4.3256e-06
          33   2.9488e+03   1.5794e+01   0.0000e+00  -4.8521e-06  -1.6250e-07   0.0000e+00   4.8549e-06
          35   2.8934e+03   1.5802e+01   0.0000e+00  -5.4515e-06  -1.7668e-07   0.0000e+00   5.4544e-06
          37   2.8376e+03   1.5467e+01   0.0000e+00  -6.0734e-06  -1.6570e-07   0.0000e+00   6.0757e-06
          39   2.7819e+03   1.4504e+01   0.0000e+00  -6.6080e-06  -1.1462e-07   0.0000e+00   6.6090e-06
          41   2.7271e+03   1.3216e+01   0.0000e+00  -6.9109e-06  -3.6670e-08   0.0000e+00   6.9110e-06
          43   2.6731e+03   1.3097e+01   0.0000e+00  -6.8963e-06   4.3218e-08   0.0000e+00   6.8964e-06
          45   2.6182e+03   1.4118e+01   0.0000e+00  -6.5570e-06   1.2200e-07   0.0000e+00   6.5581e-06
          47   2.5622e+03   1.4845e+01   0.0000e+00  -5.9671e-06   1.7629e-07   0.0000e+00   5.9697e-06
          49   2.5061e+03   1.5061e+01   0.0000e+00  -5.2608e-06   1.9514e-07   0.0000e+00   5.2644e-06
          51   2.4505e+03   1.5190e+01   0.0000e+00  -4.5379e-06   1.9673e-07   0.0000e+00   4.5421e-06
          53   2.3952e+03   1.5823e+01   0.0000e+00  -3.8241e-06   2.0440e-07   0.0000e+00   3.8296e-06
          55   2.3396e+03   1.6154e+01   0.0000e+00  -3.0888e-06   2.2424e-07   0.0000e+00   3.0970e-06
          57   2.2847e+03   1.6105e+01   0.0000e+00  -2.2492e-06   2.7991e-07   0.0000e+00   2.2666e-06
          59   2.2308e+03   1.6530e+01   0.0000e+00  -1.0894e-06   4.5056e-07   0.0000e+00   1.1789e-06
          61   2.2103e+03   3.3822e+01   0.0000e+00  -6.9801e-07   1.1301e-06   0.0000e+00   1.3283e-06
          62   2.1948e+03   8.3913e+01   0.0000e+00  -1.5125e-06   2.5621e-06   0.0000e+00   2.9752e-06
          64   2.1677e+03   1.3042e+02   0.0000e+00  -2.7578e-06   3.1579e-06   0.0000e+00   4.1926e-06
          66   2.1295e+03   1.6853e+02   0.0000e+00  -3.9262e-06   2.8733e-06   0.0000e+00   4.8653e-06
          68   2.0825e+03   1.9887e+02   0.0000e+00  -4.6848e-06   1.9147e-06   0.0000e+00   5.0610e-06
          70   2.0269e+03   2.1067e+02   0.0000e+00  -5.0535e-06   6.7722e-07   0.0000e+00   5.0986e-06
          72   1.9728e+03   2.0968e+02   0.0000e+00  -4.8846e-06  -5.6617e-07   0.0000e+00   4.9173e-06
          74   1.9202e+03   1.9605e+02   0.0000e+00  -4.2472e-06  -1.6073e-06   0.0000e+00   4.5412e-06
          76   1.8723e+03   1.6918e+02   0.0000e+00  -3.2523e-06  -2.2407e-06   0.0000e+00   3.9495e-06
          78   1.8329e+03   1.3069e+02   0.0000e+00  -2.0970e-06  -2.2972e-06   0.0000e+00   3.1104e-06
          80   1.8052e+03   8.4150e+01   0.0000e+00  -1.0716e-06  -1.7466e-06   0.0000e+00   2.0491e-06
          82   1.7895e+03   3.3911e+01   0.0000e+00  -4.7115e-07  -7.4001e-07   0.0000e+00   8.7726e-07
          84   1.7690e+03   1.6620e+01   0.0000e+00  -7.1501e-07  -2.8813e-07   0.0000e+00   7.7088e-07
          85   1.7147e+03   1.6030e+01   0.0000e+00  -1.4202e-06  -1.5410e-07   0.0000e+00   1.4286e-06
          87   1.6599e+03   1.5582e+01   0.0000e+00  -1.8396e-06  -9.4770e-08   0.0000e+00   1.8421e-06
          89   1.6048e+03   1.5400e+01   0.0000e+00  -2.1179e-06  -6.4933e-08   0.0000e+00   2.1189e-06
          91   1.5497e+03   1.5392e+01   0.0000e+00  -2.3173e-06  -4.7657e-08   0.0000e+00   2.3178e-06
          93   1.4944e+03   1.5449e+01   0.0000e+00  -2.4658e-06  -3.5840e-08   0.0000e+00   2.4660e-06
          95   1.4391e+03   1.5516e+01   0.0000e+00  -2.5764e-06  -2.6398e-08   0.0000e+00   2.5765e-06
          97   1.3838e+03   1.5594e+01   0.0000e+00  -2.6550e-06  -1.8012e-08   0.0000e+00   2.6550e-06
          99   1.3285e+03   1.5692e+01   0.0000e+00  -2.7044e-06  -1.0179e-08   0.0000e+00   2.7045e-06
         101   1.2742e+03   1.5759e+01   0.0000e+00  -2.7268e-06  -2.9402e-09   0.0000e+00   2.7268e-06
         103   1.2208e+03   1.5642e+01   0.0000e+00  -2.7254e-06   3.4336e-09   0.0000e+00   2.7254e-06
         105   1.1676e+03   1.5311e+01   0.0000e+00  -2.7043e-06   8.5385e-09   0.0000e+00   2.7043e-06
         107   1.1147e+03   1.5061e+01   0.0000e+00  -2.6675e-06   1.2317e-08   0.0000e+00   2.6675e-06
         109   1.0620e+03   1.5118e+01   0.0000e+00  -2.6192e-06   1.5091e-08   0.0000e+00   2.6192e-06
         111   1.0092e+03   1.5479e+01   0.0000e+00  -2.5633e-06   1.7070e-08   0.0000e+00   2.5634e-06
         113   9.5613e+02   1.5905e+01   0.0000e+00  -2.5034e-06   1.8135e-08   0.0000e+00   2.5035e-06
         115   9.0287e+02   1.6074e+01   0.0000e+00  -2.4429e-06   1.8043e-08   0.0000e+00   2.4430e-06
         117   8.4973e+02   1.6002e+01   0.0000e+00  -2.3846e-06   1.7033e-08   0.0000e+00   2.3847e-06
         119   7.9675e+02   1.5868e+01   0.0000e+00  -2.3303e-06   1.5559e-08   0.0000e+00   2.3304e-06
         121   7.4384e+02   1.5748e+01   0.0000e+00  -2.2809e-06   1.3908e-08   0.0000e+00   2.2810e-06
         123   6.9094e+02   1.5661e+01   0.0000e+00  -2.2369e-06   1.2233e-08   0.0000e+00   2.2369e-06
         125   6.3802e+02   1.5604e+01   0.0000e+00  -2.1983e-06   1.0622e-08   0.0000e+00   2.1983e-06
         127   5.8507e+02   1.5570e+01   0.0000e+00  -2.1647e-06   9.1296e-09   0.0000e+00   2.1648e-06
         129   5.3207e+02   1.5554e+01   0.0000e+00  -2.1360e-06   7.7913e-09   0.0000e+00   2.1360e-06
         131   4.7900e+02   1.5548e+01   0.0000e+00  -2.1114e-06   6.6128e-09   0.0000e+00   2.1114e-06
         133   4.2579e+02   1.5547e+01   0.0000e+00  -2.0906e-06   5.5957e-09   0.0000e+00   2.0906e-06
         135   3.7077e+02   1.5576e+01   0.0000e+00  -2.0724e-06   4.7205e-09   0.0000e+00   2.0724e-06
         137   3.1392e+02   1.5651e+01   0.0000e+00  -2.0566e-06   3.9929e-09   0.0000e+00   2.0566e-06
         139   2.5690e+02   1.5810e+01   0.0000e+00  -2.0432e-06   3.4266e-09   0.0000e+00   2.0432e-06
         141   1.9968e+02   1.6033e+01   0.0000e+00  -2.0316e-06   3.0020e-09   0.0000e+00   2.0316e-06
         143   1.4196e+02   1.6086e+01   0.0000e+00  -2.0215e-06   2.6644e-09   0.0000e+00   2.0215e-06
         145   8.4631e+01   1.4544e+01   0.0000e+00  -2.0124e-06   2.2103e-09   0.0000e+00   2.0124e-06
         147   3.1414e+01   1.1832e+01   0.0000e+00  -2.0046e-06   1.7260e-09   0.0000e+00   2.0046e-06
         149   1.2366e+01   2.9610e+01   0.0000e+00  -2.0018e-06   4.2798e-09   0.0000e+00   2.0018e-06
         150   1.4867e+01   7.9604e+01   0.0000e+00  -2.0021e-06   1.1363e-08   0.0000e+00   2.0021e-06
         152   1.5911e+01   1.3330e+02   0.0000e+00  -2.0020e-06   1.8518e-08   0.0000e+00   2.0021e-06
         154   1.5555e+01   1.8698e+02   0.0000e+00  -2.0017e-06   2.4894e-08   0.0000e+00   2.0019e-06
         156   1.5456e+01   2.4025e+02   0.0000e+00  -2.0014e-06   3.0191e-08   0.0000e+00   2.0016e-06
         158   1.5544e+01   2.9372e+02   0.0000e+00  -2.0010e-06   3.4243e-08   0.0000e+00   2.0013e-06
         160   1.5509e+01   3.4741e+02   0.0000e+00  -2.0005e-06   3.6842e-08   0.0000e+00   2.0009e-06
         162   1.5201e+01   4.0102e+02   0.0000e+00  -2.0000e-06   3.7834e-08   0.0000e+00   2.0004e-06
         164   1.4814e+01   4.5433e+02   0.0000e+00  -1.9996e-06   3.7161e-08   0.0000e+00   1.9999e-06
         166   1.4442e+01   5.0749e+02   0.0000e+00  -1.9992e-06   3.4850e-08   0.0000e+00   1.9995e-06
         168   1.3932e+01   5.6015e+02   0.0000e+00  -1.9988e-06   3.1025e-08   0.0000e+00   1.9990e-06
         170   1.4577e+01   6.1264e+02   0.0000e+00  -1.9984e-06   2.5853e-08   0.0000e+00   1.9986e-06
         172   1.5580e+01   6.6661e+02   0.0000e+00  -1.9980e-06   1.9337e-08   0.0000e+00   1.9981e-06
         174   1.4155e+01   7.2063e+02   0.0000e+00  -1.9980e-06   1.1872e-08   0.0000e+00   1.9980e-06
         176   1.1583e+01   7.7052e+02   0.0000e+00  -1.9983e-06   4.4709e-09   0.0000e+00   1.9983e-06
         178   2.9127e+01   7.8830e+02   0.0000e+00  -1.9956e-06   1.7911e-09   0.0000e+00   1.9956e-06
         179   7.8344e+01   7.8577e+02   0.0000e+00  -1.9879e-06   2.2697e-09   0.0000e+00   1.9879e-06
         181   1.3119e+02   7.8450e+02   0.0000e+00  -1.9791e-06   2.6979e-09   0.0000e+00   1.9791e-06
         183   1.8417e+02   7.8459e+02   0.0000e+00  -1.9694e-06   3.0364e-09   0.0000e+00   1.9694e-06
         185   2.3680e+02   7.8461e+02   0.0000e+00  -1.9582e-06   3.5287e-09   0.0000e+00   1.9582e-06
         187   2.8942e+02   7.8456e+02   0.0000e+00  -1.9450e-06   4.2163e-09   0.0000e+00   1.9450e-06
         189   3.4207e+02   7.8451e+02   0.0000e+00  -1.9292e-06   5.1311e-09   0.0000e+00   1.9292e-06
         191   3.9472e+02   7.8448e+02   0.0000e+00  -1.9099e-06   6.3282e-09   0.0000e+00   1.9099e-06
         193   4.4736e+02   7.8446e+02   0.0000e+00  -1.8859e-06   7.8907e-09   0.0000e+00   1.8859e-06
         195   5.0001e+02   7.8445e+02   0.0000e+00  -1.8559e-06   9.9436e-09   0.0000e+00   1.8559e-06
         197   5.5265e+02   7.8445e+02   0.0000e+00  -1.8179e-06   1.2666e-08   0.0000e+00   1.8180e-06
         199   6.0530e+02   7.8445e+02   0.0000e+00  -1.7692e-06   1.6320e-08   0.0000e+00   1.7693e-06
         201   6.5798e+02   7.8445e+02   0.0000e+00  -1.7061e-06   2.1311e-08   0.0000e+00   1.7062e-06
         203   7.1072e+02   7.8446e+02   0.0000e+00  -1.6228e-06   2.8292e-08   0.0000e+00   1.6231e-06
         205   7.6353e+02   7.8447e+02   0.0000e+00  -1.5111e-06   3.8308e-08   0.0000e+00   1.5116e-06
         207   8.1644e+02   7.8453e+02   0.0000e+00  -1.3575e-06   5.3074e-08   0.0000e+00   1.3586e-06
         209   8.6942e+02   7.8476e+02   0.0000e+00  -1.1405e-06   7.5138e-08   0.0000e+00   1.1429e-06
         211   9.2213e+02   7.8560e+02   0.0000e+00  -8.2365e-07   1.0627e-07   0.0000e+00   8.3048e-07
         213   9.7171e+02   7.8795e+02   0.0000e+00  -3.6946e-07   1.3428e-07   0.0000e+00   3.9311e-07
         215   9.9059e+02   7.7056e+02   0.0000e+00  -1.9770e-07   3.8617e-07   0.0000e+00   4.3383e-07
         216   9.9506e+02   7.1917e+02   0.0000e+00  -4.8312e-07   9.9413e-07   0.0000e+00   1.1053e-06
         218   1.0159e+03   6.6718e+02   0.0000e+00  -9.2890e-07   1.5608e-06   0.0000e+00   1.8163e-06
         220   1.0432e+03   6.2026e+02   0.0000e+00  -1.5447e-06   1.9211e-06   0.0000e+00   2.4651e-06
         222   1.0782e+03   5.7821e+02   0.0000e+00  -2.2589e-06   2.0520e-06   0.0000e+00   3.0518e-06
