# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
135
1 2000 550
2 3597.6993 283.0281
3 3461.2278 561.6902
4 3778.7275 541.6412
5 3215.6132 327.2219
6 3192.3348 607.3984
7 2278.4778 457.2047
8 2139.3448 294.6757
9 1910.9844 302.1099
10 1211.8142 442.6401
11 1183.9644 263.5824
12 715.4369 574.3416
13 583.2349 317.2487
14 502.2691 582.7323
15 295.1424 419.031
16 881.5645 320.4635
17 1063.5437 476.5112
18 919.5826 608.4391
19 1363.6805 403.0521
20 1453.5176 220.3611
21 1576.5441 438.5685
22 1716.851 612.0996
23 1778.4781 422.6486
24 1707.0838 218.6236
25 2240.4464 634.9786
26 2359.4413 286.1728
27 2271.2807 141.1008
28 2432.7079 136.4388
29 2574.7463 123.5392
30 0 266.6667
31 0 533.3333
32 309.2488 800
33 593.585 800
34 822.6058 800
35 1581.4593 0
36 1300 0
37 1009.9062 0
38 704.9531 0
39 400 0
40 1040.1937 650.0008
41 1150.0008 540.1937
42 1300 500
43 1449.9992 540.1937
44 1559.8063 650.0008
45 2141.4214 141.4214
46 2000 200
47 1858.5787 141.4213
48 1808.6737 800
49 2086.2192 800
50 2421.9961 574.4974
51 2469.786 415.356
52 2555.8726 273.7332
53 2700.0001 200.0289
54 2868.0657 303.0508
55 2969.7653 537.5681
56 3750 0
57 3387.589 0
58 3036.4693 0
59 2700 0
60 2495.4183 0
61 2342.1523 0
62 3318.8543 800
63 3659.4272 800
64 4000 533.3333
65 4000 266.6667
66 0 0
67 0 800
68 1000 800
69 1800 0
70 1600 800
71 2200 0
72 2400 800
73 3000 800
74 4000 0
75 4000 800
76 2000 -550
78 3597.6993 -283.0281
80 3461.2278 -561.6902
82 3778.7275 -541.6412
84 3215.6132 -327.2219
86 3192.3348 -607.3984
88 2278.4778 -457.2047
90 2139.3448 -294.6757
92 1910.9844 -302.1099
94 1211.8142 -442.6401
96 1183.9644 -263.5824
98 715.4369 -574.3416
100 583.2349 -317.2487
102 502.2691 -582.7323
104 295.1424 -419.031
106 881.5645 -320.4635
108 1063.5437 -476.5112
110 919.5826 -608.4391
112 1363.6805 -403.0521
114 1453.5176 -220.3611
116 1576.5441 -438.5685
118 1716.851 -612.0996
120 1778.4781 -422.6486
122 1707.0838 -218.6236
124 2240.4464 -634.9786
126 2359.4413 -286.1728
128 2271.2807 -141.1008
130 2432.7079 -136.4388
132 2574.7463 -123.5392
134 0 -266.6667
136 0 -533.3333
138 309.2488 -800
140 593.585 -800
142 822.6058 -800
149 1040.1937 -650.0008
151 1150.0008 -540.1937
153 1300 -500
155 1449.9992 -540.1937
157 1559.8063 -650.0008
159 2141.4214 -141.4214
161 2000 -200
163 1858.5787 -141.4213
165 1808.6737 -800
167 2086.2192 -800
169 2421.9961 -574.4974
171 2469.786 -415.356
173 2555.8726 -273.7332
175 2700.0001 -200.0289
177 2868.0657 -303.0508
179 2969.7653 -537.5681
