 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  1                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 69 3 52
  2                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 69 58 3
  3                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 50 55 56
  4                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 4 52 3
  5                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 52 4 51
  6                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 50 4 55
  7                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 50 51 4
  8                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 58 5 3
  9                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 58 59 5
  10                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 54 4 6
  11                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 54 55 4
  12                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 6 3 5
  13                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 6 4 3
  14                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 6 53 54
  15                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 7 60 61
  16                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 60 59 71
  17                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 59 7 5
  18                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 59 60 7
  19                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 6 7 53
  20                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 6 5 7
  21                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 53 61 70
  22                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 53 7 61
  23                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 67 1 57
  24                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 67 42 1
  25                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 2 57 1
  26                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 2 56 57
  27                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 56 49 50
  28                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 56 2 49
  29                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 35 13 34
  30                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 14 35 36
  31                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 13 14 12
  32                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 13 35 14
  33                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 30 15 29
  34                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 15 12 14
  35                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 15 30 12
  36                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 28 16 27
  37                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 29 28 63
  38                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 16 29 15
  39                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 16 28 29
  40                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 27 36 62
  41                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 27 16 36
  42                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 14 16 15
