Information listing created by	User
Date	08-Dec-2023 22:29:30
Current work part	C:\Users\User\Documents\GitHub\MComp_24\NX\geometria finalSim_fem12.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  1                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 1 48 49
  2                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 63 3 62
  3                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 56 65 74
  4                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 56 2 65
  5                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 63 4 3
  6                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 4 75 64
  7                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 4 63 75
  8                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 4 2 3
  9                    | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 65 4 64
  10                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 65 2 4
  11                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 58 5 57
  12                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 53 58 59
  13                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 53 54 58
  14                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 5 54 55
  15                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 5 58 54
  16                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 57 2 56
  17                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 57 5 2
  18                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 6 62 3
  19                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 73 6 55
  20                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 73 62 6
  21                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 6 5 55
  22                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 5 3 2
  23                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 5 6 3
  24                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 12 33 34
  25                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 33 14 32
  26                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 14 12 13
  27                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 14 33 12
  28                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 31 15 30
  29                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 32 31 67
  30                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 15 32 14
  31                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 15 31 32
  32                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 30 39 66
  33                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 30 15 39
  34                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 13 15 14
  35                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 13 39 15
  36                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 11 17 10
  37                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 16 11 37
  38                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 16 17 11
  39                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 13 38 39
  40                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 38 16 37
  41                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 38 13 16
  42                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 12 16 13
  43                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 10 41 42
  44                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 10 17 41
  45                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 18 12 34
  46                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 16 18 17
  47                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 16 12 18
  48                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 17 18 40
  49                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 41 17 40
  50                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 68 18 34
  51                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 68 40 18
  52                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 11 36 37
  53                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 36 20 35
  54                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 36 11 20
  55                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 19 10 42
  56                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 11 19 20
  57                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 11 10 19
  58                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 23 1 9
  59                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 1 22 48
  60                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 1 23 22
  61                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 20 24 35
  62                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 20 21 24
  63                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 23 21 22
  64                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 23 24 21
  65                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 24 69 35
  66                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 9 24 23
  67                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 24 47 69
  68                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 24 9 47
  69                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 19 21 20
  70                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 43 19 42
  71                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 43 21 19
  72                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 70 22 44
  73                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 70 48 22
  74                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 44 21 43
