# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
673
1 1550.2217 137.0114
2 1371.4884 132.9665
3 1192.1804 127.9903
4 1015.8387 121.7936
5 843.5759 114.6839
6 679.1748 106.9569
7 521.462 107.5742
8 368.1799 105.8659
9 244.2868 91.4276
10 265.2099 200.7525
11 135.589 262.9765
12 3.6268 284.2726
13 -123.7729 258.3925
14 -243.8109 186.1863
15 -288.5106 73.3044
16 -390.8928 144.753
17 -534.1969 114.9393
18 -682.4444 107.5566
19 -843.6468 114.083
20 -1017.3465 122.1291
21 -1195.6186 129.3905
22 -1374.975 134.4028
23 -1552.1297 138.1616
24 -1726.2959 139.5982
25 -1874.5298 126.5959
26 -1825.8568 296.321
27 -1850.9307 491.2359
28 -1845.8715 651.8474
29 -1689.8936 671.591
30 -1523.102 672.7952
31 -1353.1983 673.1912
32 -1197.7731 676.1825
33 -1056.0341 670.5609
34 -998.6647 524.1186
35 -861.5574 462.7037
36 -759.7347 455.1034
37 -665.5947 435.5924
38 -542.0929 455.2949
39 -427.7659 521.3221
40 -348.6417 619.7901
41 -307.9842 724.3576
42 -208.8934 641.6416
43 -54.1475 665.2131
44 117.0017 668.2914
45 290.6947 680.1546
46 441.3264 686.8922
47 488.9133 582.0238
48 560.3415 471.0005
49 704.2742 437.6584
50 850.4769 471.2373
51 920.1619 583.2653
52 967.6524 688.9899
53 1129.5918 684.7546
54 1317.1432 672.5599
55 1509.9258 671.3041
56 1686.1171 670.1297
57 1845.9027 650.4713
58 1851.896 489.3268
59 1825.8136 294.9428
60 1874.361 126.0137
61 1725.0989 138.7559
62 1261.5181 260.9395
63 1081.6462 248.652
64 907.8573 234.9674
65 741.5532 219.8489
66 602.908 197.7632
67 447.2351 236.8163
68 291.2524 354.698
69 98.8284 395.4203
70 -88.7065 405.5713
71 -249.374 326.9649
72 -357.5153 252.0465
73 -486.5314 233.1187
74 -609.7467 198.6347
75 -739.5147 221.6976
76 -905.6921 239.9499
77 -1085.0444 258.0432
78 -1270.8429 270.5309
79 -1452.9805 275.5325
80 -1629.8703 283.2695
81 -1695.5349 433.6875
82 -1736.5259 559.3371
83 -1603.3697 549.7152
84 -1440.7975 545.2647
85 -1274.4122 549.7917
86 -1136.9928 569.9061
87 -1155.3862 422.0716
88 -964.4578 376.7717
89 -786.6054 358.349
90 -607.2463 324.659
91 -419.637 372.1309
92 -266.094 491.5916
93 -117.1741 549.5627
94 29.2996 536.1127
95 228.6904 530.0741
96 374.013 593.8599
97 403.3755 484.6431
98 465.7899 376.0528
99 618.2754 326.7509
100 799.4848 342.0218
101 967.2099 361.5296
102 1020.3474 488.8474
103 1043.9752 599.1521
104 1200.516 538.7368
105 1415.6743 540.3484
106 1595.8497 546.7463
107 1735.1299 557.0789
108 1692.2698 430.8767
109 1625.8838 280.649
110 1443.8803 270.796
111 -1355.366 413.4389
112 -1529.6729 417.2928
113 1517.7111 412.0402
114 1330.3461 400.9092
115 1142.5405 383.0943
116 1422.6209 66.4832
117 1334.9132 66.4832
118 1511.9876 68.5057
119 1460.8551 134.9889
120 1245.2592 63.9952
121 1157.5514 63.9952
122 1281.8344 130.4784
123 1069.3806 60.8968
124 981.6728 60.8968
125 1104.0095 124.8919
126 895.5415 57.3419
127 807.8337 57.3419
128 929.7073 118.2387
129 725.6332 53.4784
130 638.7074 53.4784
131 761.3753 110.8204
132 559.851 53.7871
133 479.3423 53.7871
134 600.3184 107.2656
135 402.7013 52.933
136 335.7504 52.933
137 444.821 106.7201
138 273.8038 45.7138
139 222.1434 45.7138
140 306.2333 98.6467
141 212.2395 89.1018
142 184.4916 123.896
143 130.1428 209.6704
144 90.0466 228.9807
145 194.9532 178.5585
146 254.7483 146.09
147 200.3994 231.8645
148 24.0655 239.6288
149 -20.4386 239.6288
150 69.6079 273.6245
151 -84.1385 226.6888
152 -124.2347 207.3785
153 -60.073 271.3326
154 -184.2537 171.2754
155 -212.0016 136.4812
156 -183.7919 222.2894
157 -234.3514 80.0403
158 -244.2553 36.6522
159 -266.1608 129.7454
160 -295.9157 36.6522
161 -362.8666 36.6522
162 -485.7098 57.4697
163 -566.2184 57.4697
164 -414.0577 72.3765
165 -339.7017 109.0287
166 -462.5448 129.8461
167 -640.3422 53.7783
168 -727.268 53.7783
169 -608.3207 111.248
170 -807.8691 57.0415
171 -895.5769 57.0415
172 -763.0456 110.8198
173 -982.4268 61.0645
174 -1070.1345 61.0645
175 -930.4966 118.1061
176 -1159.2706 64.6953
177 -1246.9783 64.6953
178 -1106.4825 125.7598
179 -1336.6565 67.2014
180 -1424.3643 67.2014
181 -1285.2968 131.8967
182 -1512.9416 69.0808
183 -1600.6494 69.0808
184 -1463.5524 136.2822
185 -1687.7325 69.7991
186 -1775.4402 69.7991
187 -1639.2128 138.8799
188 -1849.5572 63.2979
189 -1937.2649 63.2979
190 -1800.4129 133.097
191 -1937.2649 163.2979
192 -1912.9284 248.1605
193 -1912.9284 348.1605
194 -1850.1933 211.4584
195 -1925.4654 445.6179
196 -1925.4654 545.6179
197 -1838.3937 393.7784
198 -1922.9358 625.9237
199 -1922.9358 725.9237
200 -1848.4011 571.5417
201 -1827.8907 725.9237
202 -1749.9017 735.7955
203 -1654.8566 735.7955
204 -1767.8826 661.7192
205 -1571.4608 736.3976
206 -1476.4157 736.3976
207 -1606.4978 672.1931
208 -1391.4639 736.5956
209 -1303.0681 736.5956
210 -1438.1501 672.9932
211 -1225.3555 738.0912
212 -1153.6839 738.0912
213 -1275.4857 674.6868
214 -1082.8144 735.2804
215 -1028.0171 735.2804
216 -1126.9036 673.3717
217 -1020.6747 688.9282
218 -999.3693 647.1129
219 -970.6845 573.8917
220 -937.4999 540.7071
221 -1027.3494 597.3397
222 -868.9463 509.9997
223 -827.1309 488.6943
224 -930.111 493.4112
225 -776.2196 484.8941
226 -729.8673 477.5517
227 -810.646 458.9036
228 -682.7974 467.7962
229 -636.4451 475.1386
230 -712.6647 445.3479
231 -574.6942 484.9899
232 -532.8789 506.2953
233 -603.8438 445.4437
234 -475.7154 539.3088
235 -442.5307 572.4935
236 -484.9294 488.3085
237 -402.9687 621.7275
238 -381.6633 663.5428
239 -388.2038 570.5561
240 -361.3345 715.8265
241 -353.9921 762.1788
242 -328.313 672.0739
243 -300.8752 762.1788
244 -232.021 762.1788
245 -105.1026 732.6066
246 -19.936 732.6066
247 -182.4756 720.8208
248 -258.4388 682.9996
249 -131.5204 653.4274
250 65.6386 734.1457
251 157.9037 734.1457
252 31.4271 666.7523
253 244.7502 740.0773
254 337.0152 740.0773
255 203.8482 674.223
256 412.331 743.4461
257 495.6632 743.4461
258 366.0105 683.5234
259 502.4301 681.0896
260 526.2236 628.6553
261 543.0222 581.7753
262 465.1198 634.458
263 578.7363 526.2637
264 607.7126 492.38
265 524.6274 526.5121
266 679.6789 475.709
267 722.0929 474.2598
268 632.3079 454.3294
269 795.1942 491.0493
270 825.0636 523.5589
271 777.3755 454.4478
272 859.9062 579.5729
273 877.7766 627.018
274 885.3194 527.2513
275 901.5218 679.8803
276 908.8262 744.4949
277 943.9072 636.1276
278 997.694 744.4949
279 1078.6637 742.3773
280 1175.8249 742.3773
281 1048.6221 686.8722
282 1269.6006 736.2799
283 1366.8434 736.2799
284 1223.3675 678.6572
285 1463.2347 735.6521
286 1560.4774 735.6521
287 1413.5345 671.932
288 1648.5731 735.0649
289 1745.8158 735.0649
290 1598.0215 670.7169
291 1825.7086 725.2356
292 1922.9513 725.2356
293 1766.0099 660.3005
294 1922.9513 625.2356
295 1925.948 544.6634
296 1925.948 444.6634
297 1848.8993 569.8991
298 1912.9068 347.4714
299 1912.9068 247.4714
300 1838.8548 392.1348
301 1937.1805 163.0069
302 1937.1805 63.0069
303 1850.0873 210.4782
304 1849.4728 63.0069
305 1774.8417 69.378
306 1687.134 69.378
307 1799.73 132.3848
308 1599.6954 68.5057
309 1637.6603 137.8837
310 -317.3518 165.4696
311 -1776.0763 217.9596
312 -278.7676 630.7159
313 1775.4563 216.8494
314 1136.9133 188.3212
315 1048.7424 185.2228
316 1226.8492 194.4649
317 1171.5822 254.7958
318 961.848 178.3805
319 875.7166 174.8256
320 994.7518 241.8097
321 792.5645 167.2664
322 710.364 163.4029
323 824.7052 227.4081
324 641.0414 152.36
325 562.185 152.6687
326 672.2306 208.8061
327 484.3485 172.1953
328 407.7075 171.3411
329 525.0715 217.2898
330 316.6949 153.3092
331 356.2225 218.7844
332 278.2311 277.7253
333 213.4207 308.8372
334 369.2437 295.7572
335 117.2087 329.1984
336 51.2276 339.8465
337 195.0404 375.0592
338 -42.5398 344.9219
339 -106.2397 331.9819
340 5.061 400.4958
341 -186.5735 292.6787
342 -246.5925 256.5756
343 -169.0403 366.2681
344 -300.6631 219.1164
345 -374.2041 198.3997
346 -303.4447 289.5057
347 -438.7121 188.9358
348 -510.3641 174.029
349 -422.0234 242.5826
350 -571.9718 156.787
351 -646.0956 153.0957
352 -548.1391 215.8767
353 -710.9796 164.6271
354 -791.5807 167.8903
355 -674.6307 210.1662
356 -874.6694 177.0165
357 -961.5193 181.0395
358 -822.6034 230.8238
359 -1051.1954 190.0861
360 -1140.3315 193.7169
361 -995.3682 248.9965
362 -1233.2308 199.9607
363 -1322.909 202.4669
364 -1177.9437 264.2871
365 -1413.9778 204.9676
366 -1502.5551 206.847
367 -1361.9117 273.0317
368 -1591 210.7155
369 -1678.0831 211.4338
370 -1541.4254 279.401
371 -1727.8635 289.7953
372 -1760.6958 365.0042
373 -1773.2328 462.4617
374 -1662.7026 358.4785
375 -1793.7283 525.2865
376 -1791.1987 605.5923
377 -1716.0304 496.5123
378 -1713.2097 615.4641
379 -1646.6316 610.6531
