Listagem de informações criada por	PC
Data	05-Dec-2023 00:11:24
Peça de trabalho atual	C:\Users\PC\Desktop\nx\geometria final_fem1.fem
Nome do nó	HP


 
------------------------------------------------------------
 
              INFORMAÇÕES DE ELEMENTOS
 
------------------------------------------------------------
 
 
INFORMAÇÕES DE ELEMENTOS
  Etiqueta             | Tipo de Elemento | Malha          | Coletor de Malha | Nós Conectados
  1                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 2 420 355
  2                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 1 420 2
  3                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 3 355 356
  4                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 2 355 3
  5                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 4 356 357
  6                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 3 356 4
  7                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 5 357 358
  8                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 4 357 5
  9                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 6 358 359
  10                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 5 358 6
  11                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 7 359 360
  12                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 6 359 7
  13                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 8 360 361
  14                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 7 360 8
  15                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 9 361 362
  16                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 8 361 9
  17                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 10 362 363
  18                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 9 362 10
  19                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 11 363 364
  20                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 10 363 11
  21                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 12 364 365
  22                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 11 364 12
  23                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 13 365 366
  24                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 12 365 13
  25                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 14 366 367
  26                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 13 366 14
  27                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 15 367 368
  28                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 14 367 15
  29                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 1 368 420
  30                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 15 368 1
  31                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 17 407 408
  32                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 16 407 17
  33                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 18 408 409
  34                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 17 408 18
  35                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 19 409 410
  36                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 18 409 19
  37                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 20 410 411
  38                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 19 410 20
  39                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 21 411 412
  40                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 20 411 21
  41                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 22 412 413
  42                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 21 412 22
  43                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 23 413 425
  44                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 22 413 23
  45                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 23 425 393
  46                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 24 393 394
  47                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 23 393 24
  48                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 25 394 395
  49                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 24 394 25
  50                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 26 395 396
  51                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 25 395 26
  52                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 27 396 397
  53                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 26 396 27
  54                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 28 397 398
  55                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 27 397 28
  56                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 29 398 423
  57                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 28 398 29
  58                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 29 423 381
  59                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 30 381 382
  60                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 29 381 30
  61                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 31 382 383
  62                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 30 382 31
