    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   1.5843e+03   2.3163e+02   0.0000e+00  -2.4019e-06   1.3035e-06   0.0000e+00   2.7328e-06
           3   7.2884e+02   1.4263e+03   0.0000e+00  -1.6521e-06   2.9150e-07   0.0000e+00   1.6776e-06
           4   2.0258e+02   1.1602e+03   0.0000e+00  -2.0097e-06   4.2560e-08   0.0000e+00   2.0101e-06
           5   3.9815e+02   1.4272e+03   0.0000e+00  -1.9475e-06   6.4174e-08   0.0000e+00   1.9486e-06
          11   3.7159e+02   1.3844e+02   0.0000e+00  -1.9420e-06  -4.8228e-08   0.0000e+00   1.9426e-06
          12   1.7579e+02   4.0566e+02   0.0000e+00  -2.0011e-06  -3.9358e-08   0.0000e+00   2.0015e-06
          14   7.0318e+02   1.3902e+02   0.0000e+00  -1.6277e-06  -2.2569e-07   0.0000e+00   1.6432e-06
          15   1.0897e+03   3.1442e+02   0.0000e+00  -2.8290e-06  -1.0507e-06   0.0000e+00   3.0179e-06
          21   1.1420e+03   1.2921e+03   0.0000e+00  -3.1880e-06   9.7579e-07   0.0000e+00   3.3340e-06
          25   1.5901e+03   1.3727e+03   0.0000e+00  -2.3695e-06  -1.2680e-06   0.0000e+00   2.6874e-06
          27   1.8093e+03   1.4907e+03   0.0000e+00  -1.6201e-06  -3.1592e-07   0.0000e+00   1.6506e-06
          29   2.1861e+03   1.5051e+03   0.0000e+00  -1.3115e-06   3.7172e-07   0.0000e+00   1.3632e-06
          30   2.3356e+03   1.3853e+03   0.0000e+00  -1.0132e-06   1.3829e-06   0.0000e+00   1.7143e-06
          37   1.8045e+03   1.1367e+02   0.0000e+00  -1.6305e-06   3.3492e-07   0.0000e+00   1.6646e-06
          39   2.1844e+03   9.4484e+01   0.0000e+00  -1.3167e-06  -3.6634e-07   0.0000e+00   1.3667e-06
          40   2.3339e+03   2.1422e+02   0.0000e+00  -1.0194e-06  -1.3718e-06   0.0000e+00   1.7091e-06
          47   2.5265e+03   1.0317e+03   0.0000e+00  -5.3304e-06   3.1200e-06   0.0000e+00   6.1763e-06
          51   2.5088e+03   5.4430e+02   0.0000e+00  -4.8622e-06  -3.3581e-06   0.0000e+00   5.9091e-06
          58   3.8133e+03   4.3687e+02   0.0000e+00  -2.0254e-06   7.0716e-08   0.0000e+00   2.0267e-06
          59   3.6171e+03   1.7023e+02   0.0000e+00  -1.8459e-06   1.3542e-07   0.0000e+00   1.8509e-06
          60   3.1215e+03   1.1951e+02   0.0000e+00  -8.6032e-07   6.5779e-07   0.0000e+00   1.0830e-06
          64   2.8958e+03   5.9677e+02   0.0000e+00  -5.1246e-06   2.3148e-06   0.0000e+00   5.6231e-06
          66   3.8044e+03   1.3338e+03   0.0000e+00  -1.9271e-06  -5.6444e-08   0.0000e+00   1.9279e-06
          69   3.0835e+03   1.3159e+03   0.0000e+00  -1.2208e-06  -1.2399e-06   0.0000e+00   1.7400e-06
          70   3.2377e+03   1.4350e+03   0.0000e+00  -1.2791e-06  -4.6839e-07   0.0000e+00   1.3622e-06
          71   2.8954e+03   1.0093e+03   0.0000e+00  -5.0739e-06  -2.4042e-06   0.0000e+00   5.6147e-06
