    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   3.9538e+03   3.6797e+00   0.0000e+00  -2.0912e-06  -5.0080e-10   0.0000e+00   2.0912e-06
           3   3.9407e+03   3.7060e+00   0.0000e+00  -2.0922e-06  -6.2424e-10   0.0000e+00   2.0922e-06
           5   3.9276e+03   3.7251e+00   0.0000e+00  -2.0934e-06  -7.5102e-10   0.0000e+00   2.0934e-06
           7   3.9145e+03   3.7378e+00   0.0000e+00  -2.0949e-06  -9.1231e-10   0.0000e+00   2.0949e-06
           9   3.9013e+03   3.7461e+00   0.0000e+00  -2.0966e-06  -1.0571e-09   0.0000e+00   2.0966e-06
          11   3.8882e+03   3.7509e+00   0.0000e+00  -2.0986e-06  -1.2213e-09   0.0000e+00   2.0986e-06
          13   3.8750e+03   3.7533e+00   0.0000e+00  -2.1008e-06  -1.3657e-09   0.0000e+00   2.1008e-06
          15   3.8618e+03   3.7543e+00   0.0000e+00  -2.1033e-06  -1.5545e-09   0.0000e+00   2.1034e-06
          17   3.8487e+03   3.7546e+00   0.0000e+00  -2.1061e-06  -1.6924e-09   0.0000e+00   2.1061e-06
          19   3.8355e+03   3.7547e+00   0.0000e+00  -2.1092e-06  -1.8621e-09   0.0000e+00   2.1092e-06
          21   3.8224e+03   3.7548e+00   0.0000e+00  -2.1126e-06  -2.0227e-09   0.0000e+00   2.1126e-06
          23   3.8092e+03   3.7549e+00   0.0000e+00  -2.1163e-06  -2.2212e-09   0.0000e+00   2.1163e-06
          25   3.7961e+03   3.7549e+00   0.0000e+00  -2.1203e-06  -2.3800e-09   0.0000e+00   2.1203e-06
          27   3.7829e+03   3.7550e+00   0.0000e+00  -2.1246e-06  -2.5795e-09   0.0000e+00   2.1246e-06
          29   3.7698e+03   3.7550e+00   0.0000e+00  -2.1293e-06  -2.7683e-09   0.0000e+00   2.1293e-06
          31   3.7566e+03   3.7549e+00   0.0000e+00  -2.1343e-06  -2.9837e-09   0.0000e+00   2.1343e-06
          33   3.7435e+03   3.7541e+00   0.0000e+00  -2.1396e-06  -3.1707e-09   0.0000e+00   2.1396e-06
          35   3.7306e+03   3.7540e+00   0.0000e+00  -2.1453e-06  -3.3882e-09   0.0000e+00   2.1453e-06
