    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.2167e+03   8.2854e+02   0.0000e+00  -8.1216e-07   9.1794e-07   0.0000e+00   1.2257e-06
           3   2.2020e+03   8.8366e+02   0.0000e+00  -1.5781e-06   2.3971e-06   0.0000e+00   2.8700e-06
           5   2.1734e+03   9.3308e+02   0.0000e+00  -2.7481e-06   3.0358e-06   0.0000e+00   4.0949e-06
           7   2.1331e+03   9.7344e+02   0.0000e+00  -3.8653e-06   2.7775e-06   0.0000e+00   4.7597e-06
           9   2.0837e+03   1.0020e+03   0.0000e+00  -4.6286e-06   1.8840e-06   0.0000e+00   4.9974e-06
          11   2.0285e+03   1.0167e+03   0.0000e+00  -4.9264e-06   6.8808e-07   0.0000e+00   4.9742e-06
          13   1.9577e+03   1.0127e+03   0.0000e+00  -4.6570e-06  -8.1261e-07   0.0000e+00   4.7273e-06
          15   1.8795e+03   9.8029e+02   0.0000e+00  -3.4660e-06  -2.0448e-06   0.0000e+00   4.0242e-06
          17   1.8197e+03   9.2047e+02   0.0000e+00  -1.8339e-06  -2.0974e-06   0.0000e+00   2.7861e-06
          19   1.7873e+03   8.4230e+02   0.0000e+00  -6.3713e-07  -8.8330e-07   0.0000e+00   1.0891e-06
          21   1.7873e+03   7.5770e+02   0.0000e+00  -6.3708e-07   8.8358e-07   0.0000e+00   1.0893e-06
          23   1.8197e+03   6.7953e+02   0.0000e+00  -1.8340e-06   2.0974e-06   0.0000e+00   2.7861e-06
          25   1.8795e+03   6.1971e+02   0.0000e+00  -3.4661e-06   2.0450e-06   0.0000e+00   4.0244e-06
          27   1.9577e+03   5.8733e+02   0.0000e+00  -4.6606e-06   8.1089e-07   0.0000e+00   4.7307e-06
          29   2.0423e+03   5.8733e+02   0.0000e+00  -4.9288e-06  -1.0066e-06   0.0000e+00   5.0305e-06
          31   2.1205e+03   6.1971e+02   0.0000e+00  -4.1203e-06  -2.6113e-06   0.0000e+00   4.8781e-06
          33   2.1803e+03   6.7953e+02   0.0000e+00  -2.4557e-06  -2.9693e-06   0.0000e+00   3.8532e-06
          35   2.2127e+03   7.5770e+02   0.0000e+00  -9.4415e-07  -1.3425e-06   0.0000e+00   1.6413e-06
          37   3.9601e+03   1.0378e+03   0.0000e+00  -2.0538e-06  -1.1352e-08   0.0000e+00   2.0538e-06
          39   3.9568e+03   8.7963e+02   0.0000e+00  -2.0865e-06  -4.7124e-09   0.0000e+00   2.0866e-06
          41   3.9536e+03   7.1784e+02   0.0000e+00  -2.0865e-06   5.3582e-09   0.0000e+00   2.0866e-06
          43   3.9553e+03   5.5622e+02   0.0000e+00  -2.0522e-06   1.3052e-08   0.0000e+00   2.0523e-06
          45   3.9575e+03   3.9685e+02   0.0000e+00  -1.9987e-06   1.5046e-08   0.0000e+00   1.9987e-06
          47   3.9595e+03   2.3944e+02   0.0000e+00  -1.9465e-06   1.1587e-08   0.0000e+00   1.9465e-06
