    ID de Nó     Coord. X     Coord. Y     Coord. Z      Escalar
        1333   0.0000e+00   1.6000e+02   0.0000e+00  -1.2882e+01
        1334   0.0000e+00   3.2000e+02   0.0000e+00  -1.2877e+01
        1335   0.0000e+00   4.8000e+02   0.0000e+00  -1.2871e+01
        1336   0.0000e+00   6.4000e+02   0.0000e+00  -1.2867e+01
        1337   0.0000e+00   8.0000e+02   0.0000e+00  -1.2865e+01
        1338   0.0000e+00   9.6000e+02   0.0000e+00  -1.2867e+01
        1339   0.0000e+00   1.1200e+03   0.0000e+00  -1.2871e+01
        1340   0.0000e+00   1.2800e+03   0.0000e+00  -1.2877e+01
        1341   0.0000e+00   1.4400e+03   0.0000e+00  -1.2882e+01
        1342   0.0000e+00   8.0000e+01   0.0000e+00  -1.2884e+01
        1343   0.0000e+00   2.4000e+02   0.0000e+00  -1.2880e+01
        1344   0.0000e+00   4.0000e+02   0.0000e+00  -1.2874e+01
        1345   0.0000e+00   5.6000e+02   0.0000e+00  -1.2869e+01
        1346   0.0000e+00   7.2000e+02   0.0000e+00  -1.2865e+01
        1347   0.0000e+00   8.8000e+02   0.0000e+00  -1.2865e+01
        1348   0.0000e+00   1.0400e+03   0.0000e+00  -1.2869e+01
        1349   0.0000e+00   1.2000e+03   0.0000e+00  -1.2874e+01
        1350   0.0000e+00   1.3600e+03   0.0000e+00  -1.2880e+01
        1351   0.0000e+00   1.5200e+03   0.0000e+00  -1.2884e+01
        1352   9.0509e+02  -3.3873e-14   0.0000e+00  -1.1278e+01
        1353   7.8165e+02  -2.5175e-14   0.0000e+00  -1.1430e+01
        1354   6.3210e+02  -1.4637e-14   0.0000e+00  -1.1673e+01
        1355   4.7407e+02  -3.5022e-15   0.0000e+00  -1.1959e+01
        1356   3.1605e+02   7.6325e-15   0.0000e+00  -1.2261e+01
        1357   1.5802e+02   1.8767e-14   0.0000e+00  -1.2570e+01
        1358   9.5255e+02  -3.7216e-14   0.0000e+00  -1.1242e+01
        1359   8.4337e+02  -2.9524e-14   0.0000e+00  -1.1346e+01
        1360   7.0687e+02  -1.9906e-14   0.0000e+00  -1.1546e+01
        1361   5.5309e+02  -9.0696e-15   0.0000e+00  -1.1813e+01
        1362   3.9506e+02   2.0651e-15   0.0000e+00  -1.2109e+01
        1363   2.3704e+02   1.3200e-14   0.0000e+00  -1.2415e+01
        1364   7.9012e+01   2.4335e-14   0.0000e+00  -1.2727e+01
        1365   1.5802e+02   1.6000e+03   0.0000e+00  -1.2570e+01
        1366   3.1605e+02   1.6000e+03   0.0000e+00  -1.2261e+01
        1367   4.7407e+02   1.6000e+03   0.0000e+00  -1.1959e+01
        1368   6.3210e+02   1.6000e+03   0.0000e+00  -1.1673e+01
        1369   7.8165e+02   1.6000e+03   0.0000e+00  -1.1431e+01
        1370   9.0509e+02   1.6000e+03   0.0000e+00  -1.1278e+01
        1371   7.9012e+01   1.6000e+03   0.0000e+00  -1.2727e+01
        1372   2.3704e+02   1.6000e+03   0.0000e+00  -1.2415e+01
        1373   3.9506e+02   1.6000e+03   0.0000e+00  -1.2109e+01
        1374   5.5308e+02   1.6000e+03   0.0000e+00  -1.1813e+01
        1375   7.0687e+02   1.6000e+03   0.0000e+00  -1.1547e+01
        1376   8.4337e+02   1.6000e+03   0.0000e+00  -1.1346e+01
        1377   9.5255e+02   1.6000e+03   0.0000e+00  -1.1242e+01
        1378   1.5878e+03   8.4519e+01   0.0000e+00  -8.4855e+00
        1379   1.5524e+03   1.6219e+02   0.0000e+00  -8.6589e+00
        1380   1.4965e+03   2.2672e+02   0.0000e+00  -8.9314e+00
        1381   1.4246e+03   2.7289e+02   0.0000e+00  -9.2772e+00
        1382   1.3427e+03   2.9694e+02   0.0000e+00  -9.6646e+00
        1383   1.2573e+03   2.9694e+02   0.0000e+00  -1.0062e+01
        1384   1.1754e+03   2.7289e+02   0.0000e+00  -1.0439e+01
        1385   1.1035e+03   2.2672e+02   0.0000e+00  -1.0765e+01
        1386   1.0476e+03   1.6219e+02   0.0000e+00  -1.1016e+01
        1387   1.0122e+03   8.4519e+01   0.0000e+00  -1.1174e+01
        1388   1.5969e+03   4.2694e+01   0.0000e+00  -8.4422e+00
        1389   1.5729e+03   1.2462e+02   0.0000e+00  -8.5601e+00
        1390   1.5267e+03   1.9646e+02   0.0000e+00  -8.7848e+00
        1391   1.4622e+03   2.5237e+02   0.0000e+00  -9.0976e+00
        1392   1.3845e+03   2.8785e+02   0.0000e+00  -9.4679e+00
        1393   1.3000e+03   3.0000e+02   0.0000e+00  -9.8640e+00
        1394   1.2155e+03   2.8785e+02   0.0000e+00  -1.0255e+01
        1395   1.1378e+03   2.5237e+02   0.0000e+00  -1.0609e+01
        1396   1.0733e+03   1.9646e+02   0.0000e+00  -1.0900e+01
        1397   1.0271e+03   1.2462e+02   0.0000e+00  -1.1106e+01
        1398   1.0031e+03   4.2694e+01   0.0000e+00  -1.1213e+01
        1399   1.0102e+03   1.5224e+03   0.0000e+00  -1.1183e+01
        1400   1.0402e+03   1.4500e+03   0.0000e+00  -1.1049e+01
        1401   1.0879e+03   1.3879e+03   0.0000e+00  -1.0835e+01
        1402   1.1500e+03   1.3402e+03   0.0000e+00  -1.0554e+01
        1403   1.2224e+03   1.3102e+03   0.0000e+00  -1.0223e+01
        1404   1.3000e+03   1.3000e+03   0.0000e+00  -9.8642e+00
        1405   1.3776e+03   1.3102e+03   0.0000e+00  -9.5003e+00
        1406   1.4500e+03   1.3402e+03   0.0000e+00  -9.1559e+00
        1407   1.5121e+03   1.3879e+03   0.0000e+00  -8.8555e+00
        1408   1.5598e+03   1.4500e+03   0.0000e+00  -8.6228e+00
        1409   1.5898e+03   1.5224e+03   0.0000e+00  -8.4764e+00
        1410   1.0026e+03   1.5608e+03   0.0000e+00  -1.1215e+01
        1411   1.0228e+03   1.4852e+03   0.0000e+00  -1.1126e+01
        1412   1.0620e+03   1.4174e+03   0.0000e+00  -1.0951e+01
        1413   1.1174e+03   1.3620e+03   0.0000e+00  -1.0702e+01
        1414   1.1852e+03   1.3228e+03   0.0000e+00  -1.0393e+01
        1415   1.2608e+03   1.3026e+03   0.0000e+00  -1.0046e+01
        1416   1.3392e+03   1.3026e+03   0.0000e+00  -9.6813e+00
        1417   1.4148e+03   1.3228e+03   0.0000e+00  -9.3243e+00
        1418   1.4826e+03   1.3620e+03   0.0000e+00  -8.9990e+00
        1419   1.5380e+03   1.4174e+03   0.0000e+00  -8.7297e+00
        1420   1.5772e+03   1.4852e+03   0.0000e+00  -8.5384e+00
        1421   1.5974e+03   1.5608e+03   0.0000e+00  -8.4399e+00
        1422   2.1932e+03   8.5176e+02   0.0000e+00  -6.5789e+00
        1423   2.1732e+03   9.0000e+02   0.0000e+00  -6.7364e+00
        1424   2.1414e+03   9.4142e+02   0.0000e+00  -6.9656e+00
        1425   2.1000e+03   9.7321e+02   0.0000e+00  -7.2343e+00
        1426   2.0518e+03   9.9319e+02   0.0000e+00  -7.5177e+00
        1427   2.0000e+03   1.0000e+03   0.0000e+00  -7.8004e+00
        1428   1.9235e+03   9.8477e+02   0.0000e+00  -8.1995e+00
        1429   1.8586e+03   9.4142e+02   0.0000e+00  -8.5378e+00
        1430   1.8152e+03   8.7654e+02   0.0000e+00  -8.7697e+00
        1431   1.8000e+03   8.0000e+02   0.0000e+00  -8.8527e+00
        1432   1.8152e+03   7.2346e+02   0.0000e+00  -8.7697e+00
        1433   1.8586e+03   6.5858e+02   0.0000e+00  -8.5378e+00
        1434   1.9235e+03   6.1523e+02   0.0000e+00  -8.1995e+00
        1435   2.0000e+03   6.0000e+02   0.0000e+00  -7.8001e+00
        1436   2.0765e+03   6.1523e+02   0.0000e+00  -7.3753e+00
        1437   2.1414e+03   6.5858e+02   0.0000e+00  -6.9657e+00
        1438   2.1848e+03   7.2346e+02   0.0000e+00  -6.6470e+00
        1439   2.1983e+03   8.2610e+02   0.0000e+00  -6.5374e+00
        1440   2.1848e+03   8.7654e+02   0.0000e+00  -6.6471e+00
        1441   2.1587e+03   9.2175e+02   0.0000e+00  -6.8444e+00
        1442   2.1218e+03   9.5867e+02   0.0000e+00  -7.0969e+00
        1443   2.0765e+03   9.8477e+02   0.0000e+00  -7.3753e+00
        1444   2.0261e+03   9.9829e+02   0.0000e+00  -7.6598e+00
        1445   1.9610e+03   9.9616e+02   0.0000e+00  -8.0051e+00
