    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   1.8174e+03   1.8792e+02   0.0000e+00  -2.8521e-06  -1.3722e-06   0.0000e+00   3.1650e-06
           2   8.0364e+02   6.7380e+02   0.0000e+00  -1.5338e-06   3.6457e-07   0.0000e+00   1.5765e-06
           3   1.2363e+02   3.9904e+02   0.0000e+00  -1.9995e-06   3.6042e-08   0.0000e+00   1.9998e-06
           4   3.2008e+02   6.6571e+02   0.0000e+00  -1.9474e-06   3.6750e-08   0.0000e+00   1.9477e-06
           6   2.5697e+02   1.3237e+02   0.0000e+00  -2.0367e-06   3.4707e-08   0.0000e+00   2.0370e-06
           9   1.5910e+03   1.1435e+02   0.0000e+00  -2.2619e-06  -4.4574e-07   0.0000e+00   2.3054e-06
          10   1.0302e+03   5.6345e+02   0.0000e+00  -2.3444e-06   1.2988e-06   0.0000e+00   2.6801e-06
          11   8.4052e+02   1.4047e+02   0.0000e+00  -2.3588e-06   1.3536e-07   0.0000e+00   2.3627e-06
          14   1.5347e+03   5.3733e+02   0.0000e+00  -2.7895e-06  -1.4263e-06   0.0000e+00   3.1330e-06
          15   1.8667e+03   7.1667e+02   0.0000e+00  -1.6165e-06  -1.1225e-07   0.0000e+00   1.6204e-06
          17   2.8561e+03   6.6674e+01   0.0000e+00  -5.7296e-06  -3.6987e-07   0.0000e+00   5.7415e-06
          18   2.9421e+03   2.0842e+02   0.0000e+00  -4.5747e-06  -2.2321e-06   0.0000e+00   5.0902e-06
          19   3.6520e+03   6.4379e+02   0.0000e+00  -1.8521e-06  -9.7876e-08   0.0000e+00   1.8547e-06
          20   3.7651e+03   1.1045e+02   0.0000e+00  -2.1091e-06  -5.1489e-08   0.0000e+00   2.1097e-06
          21   3.8484e+03   3.7712e+02   0.0000e+00  -2.0118e-06  -5.4928e-08   0.0000e+00   2.0126e-06
          22   3.1199e+03   6.8076e+02   0.0000e+00  -8.5182e-07  -6.7362e-07   0.0000e+00   1.0860e-06
          24   3.4878e+03   1.1045e+02   0.0000e+00  -2.3439e-06  -1.4422e-07   0.0000e+00   2.3483e-06
          27   2.1333e+03   7.1667e+02   0.0000e+00  -1.4422e-06   2.2120e-07   0.0000e+00   1.4590e-06
          29   2.2837e+03   5.9741e+02   0.0000e+00  -1.2007e-06   1.1189e-06   0.0000e+00   1.6412e-06
          30   2.1509e+03   1.6267e+02   0.0000e+00  -3.4914e-06   2.3559e-06   0.0000e+00   4.2119e-06
          31   2.4543e+03   6.0756e+01   0.0000e+00  -4.4206e-06   7.4190e-07   0.0000e+00   4.4825e-06
          35   2.5350e+03   2.6918e+02   0.0000e+00  -5.3855e-06   3.9021e-06   0.0000e+00   6.6506e-06
