    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0256e+03   7.1667e+02   0.0000e+00  -1.7314e-06   9.4541e-08   0.0000e+00   1.7340e-06
           3   1.5621e+03   6.0350e+02   0.0000e+00  -1.8821e-06  -1.9243e-06   0.0000e+00   2.6917e-06
           5   1.8295e+03   7.3550e+02   0.0000e+00  -1.6404e-06  -1.4136e-07   0.0000e+00   1.6465e-06
           8   1.6722e+03   7.5007e+02   0.0000e+00  -9.3290e-07  -3.9600e-07   0.0000e+00   1.0135e-06
           9   1.6183e+03   7.1161e+02   0.0000e+00  -7.5693e-07  -9.6911e-07   0.0000e+00   1.2297e-06
          13   2.2681e+03   7.4753e+02   0.0000e+00  -8.9498e-07   2.7954e-07   0.0000e+00   9.3762e-07
          14   2.3555e+03   6.8196e+02   0.0000e+00  -5.0043e-07   8.2860e-07   0.0000e+00   9.6799e-07
          15   7.8418e+02   7.4016e+02   0.0000e+00  -1.4895e-06   1.6445e-07   0.0000e+00   1.4986e-06
          16   5.7749e+02   7.3563e+02   0.0000e+00  -1.8048e-06   5.7033e-08   0.0000e+00   1.8057e-06
          22   3.4665e+02   7.3093e+02   0.0000e+00  -1.9304e-06   2.2560e-08   0.0000e+00   1.9306e-06
          24   3.0246e+02   7.0988e+01   0.0000e+00  -2.0516e-06   1.7457e-08   0.0000e+00   2.0517e-06
          28   6.6667e+01   8.8889e+01   0.0000e+00  -2.0094e-06   1.2588e-08   0.0000e+00   2.0095e-06
          29   7.8951e+01   7.1111e+02   0.0000e+00  -1.9881e-06   1.3353e-08   0.0000e+00   1.9882e-06
          31   7.2945e+01   4.0104e+02   0.0000e+00  -2.0003e-06   3.9282e-08   0.0000e+00   2.0007e-06
          36   8.3858e+02   7.7135e+01   0.0000e+00  -2.3687e-06   8.0256e-08   0.0000e+00   2.3700e-06
          38   5.5275e+02   7.0686e+01   0.0000e+00  -2.1441e-06   3.7710e-08   0.0000e+00   2.1444e-06
          43   9.3278e+02   7.6660e+02   0.0000e+00  -7.6354e-07   2.6651e-07   0.0000e+00   8.0872e-07
          44   9.8481e+02   7.2814e+02   0.0000e+00  -5.4114e-07   8.0491e-07   0.0000e+00   9.6991e-07
          48   1.0259e+03   6.1881e+02   0.0000e+00  -1.5411e-06   1.6983e-06   0.0000e+00   2.2933e-06
          52   1.1112e+03   5.2784e+02   0.0000e+00  -2.9532e-06   1.7179e-06   0.0000e+00   3.4165e-06
