    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           5   9.4425e+02   7.7375e+02   0.0000e+00  -6.5701e-07   2.2972e-07   0.0000e+00   6.9602e-07
           6   9.8489e+02   7.4275e+02   0.0000e+00  -4.2387e-07   6.6969e-07   0.0000e+00   7.9256e-07
           7   1.0100e+03   6.5321e+02   0.0000e+00  -1.1272e-06   1.5219e-06   0.0000e+00   1.8939e-06
          15   6.7636e+02   5.0461e+01   0.0000e+00  -2.2236e-06   3.8335e-08   0.0000e+00   2.2239e-06
          19   4.9668e+02   5.5330e+01   0.0000e+00  -2.1171e-06   2.5028e-08   0.0000e+00   2.1172e-06
          26   8.2370e+02   7.5467e+02   0.0000e+00  -1.3550e-06   1.6103e-07   0.0000e+00   1.3646e-06
          28   6.5820e+02   7.5142e+02   0.0000e+00  -1.7124e-06   6.5013e-08   0.0000e+00   1.7137e-06
          30   4.7342e+02   7.4958e+02   0.0000e+00  -1.8743e-06   2.7977e-08   0.0000e+00   1.8745e-06
          39   2.8022e+02   7.4705e+02   0.0000e+00  -1.9485e-06   1.3782e-08   0.0000e+00   1.9486e-06
          42   3.0645e+02   5.7535e+01   0.0000e+00  -2.0535e-06   1.4377e-08   0.0000e+00   2.0536e-06
          46   4.4289e+01   1.2807e+02   0.0000e+00  -2.0056e-06   1.8040e-08   0.0000e+00   2.0057e-06
          47   1.1096e+02   6.1406e+01   0.0000e+00  -2.0160e-06   9.5828e-09   0.0000e+00   2.0160e-06
          52   4.4289e+01   2.6141e+02   0.0000e+00  -2.0038e-06   3.1974e-08   0.0000e+00   2.0041e-06
          53   6.3906e+01   7.3333e+02   0.0000e+00  -1.9903e-06   1.0115e-08   0.0000e+00   1.9903e-06
          56   5.7669e+01   4.9895e+02   0.0000e+00  -1.9969e-06   3.6257e-08   0.0000e+00   1.9972e-06
          60   8.5076e+02   4.9102e+01   0.0000e+00  -2.3842e-06   5.2633e-08   0.0000e+00   2.3848e-06
          70   1.2483e+03   4.7356e+02   0.0000e+00  -4.1432e-06   5.6971e-07   0.0000e+00   4.1822e-06
          71   1.0649e+03   5.7104e+02   0.0000e+00  -2.2297e-06   1.8690e-06   0.0000e+00   2.9094e-06
          74   1.1449e+03   5.0236e+02   0.0000e+00  -3.3541e-06   1.4792e-06   0.0000e+00   3.6658e-06
          76   2.2542e+03   2.9598e+01   0.0000e+00  -1.7034e-06   6.3159e-07   0.0000e+00   1.8168e-06
          77   2.2122e+03   6.3226e+01   0.0000e+00  -1.3493e-06   1.7866e-06   0.0000e+00   2.2388e-06
          79   2.1649e+03   1.5150e+02   0.0000e+00  -3.1957e-06   2.9052e-06   0.0000e+00   4.3189e-06
          81   2.0472e+03   2.2361e+02   0.0000e+00  -4.6991e-06   1.0384e-06   0.0000e+00   4.8124e-06
          83   1.2118e+03   5.0492e+01   0.0000e+00  -2.7307e-06   1.4483e-08   0.0000e+00   2.7307e-06
          84   1.0306e+03   5.8015e+01   0.0000e+00  -2.5894e-06   6.3347e-08   0.0000e+00   2.5901e-06
          87   1.3882e+03   4.9098e+01   0.0000e+00  -2.6596e-06  -5.7092e-08   0.0000e+00   2.6602e-06
          92   1.3515e+03   4.7231e+02   0.0000e+00  -4.1911e-06  -6.1507e-07   0.0000e+00   4.2360e-06
          95   1.5681e+03   5.2314e+01   0.0000e+00  -2.2783e-06  -1.7235e-07   0.0000e+00   2.2848e-06
         103   1.4563e+03   4.9847e+02   0.0000e+00  -3.4875e-06  -1.5630e-06   0.0000e+00   3.8217e-06
         119   1.6560e+03   7.7398e+02   0.0000e+00  -7.2008e-07  -2.4734e-07   0.0000e+00   7.6138e-07
         120   1.6155e+03   7.4298e+02   0.0000e+00  -4.6628e-07  -7.2848e-07   0.0000e+00   8.6492e-07
         122   1.7763e+03   7.5620e+02   0.0000e+00  -1.4644e-06  -1.5675e-07   0.0000e+00   1.4727e-06
         125   1.7802e+03   7.4633e+01   0.0000e+00  -1.1590e-06  -1.1778e-06   0.0000e+00   1.6524e-06
         126   1.7268e+03   4.1006e+01   0.0000e+00  -1.3528e-06  -4.2444e-07   0.0000e+00   1.4178e-06
         131   1.5373e+03   5.6826e+02   0.0000e+00  -2.4075e-06  -2.0022e-06   0.0000e+00   3.1313e-06
         135   1.5913e+03   6.5309e+02   0.0000e+00  -1.2387e-06  -1.6551e-06   0.0000e+00   2.0673e-06
         142   1.9395e+03   2.2082e+02   0.0000e+00  -4.3290e-06  -9.7809e-07   0.0000e+00   4.4382e-06
         145   1.8374e+03   1.7244e+02   0.0000e+00  -2.7467e-06  -1.9163e-06   0.0000e+00   3.3491e-06
         147   3.6395e+03   5.6201e+01   0.0000e+00  -2.1922e-06  -3.8912e-08   0.0000e+00   2.1926e-06
         149   3.4315e+03   5.7391e+01   0.0000e+00  -2.4181e-06  -9.5273e-08   0.0000e+00   2.4200e-06
         152   3.9418e+03   1.2386e+02   0.0000e+00  -2.0809e-06  -1.0321e-08   0.0000e+00   2.0809e-06
         153   3.8585e+03   5.7193e+01   0.0000e+00  -2.1023e-06  -1.2707e-08   0.0000e+00   2.1023e-06
         158   3.9573e+03   3.0601e+02   0.0000e+00  -2.0325e-06  -1.4145e-08   0.0000e+00   2.0325e-06
         163   3.9410e+03   4.9824e+02   0.0000e+00  -1.9652e-06  -1.9573e-08   0.0000e+00   1.9653e-06
         165   3.9545e+03   6.8983e+02   0.0000e+00  -1.9180e-06  -6.9255e-09   0.0000e+00   1.9180e-06
         166   3.8878e+03   7.5650e+02   0.0000e+00  -1.9026e-06  -7.4328e-09   0.0000e+00   1.9027e-06
         170   3.3039e+03   7.5349e+02   0.0000e+00  -1.3361e-06  -1.1575e-07   0.0000e+00   1.3411e-06
         172   3.5019e+03   7.5073e+02   0.0000e+00  -1.6856e-06  -5.7858e-08   0.0000e+00   1.6866e-06
         175   3.7001e+03   7.5090e+02   0.0000e+00  -1.8439e-06  -2.4851e-08   0.0000e+00   1.8440e-06
         181   3.2220e+03   6.0769e+01   0.0000e+00  -2.9533e-06  -2.3674e-07   0.0000e+00   2.9628e-06
         191   3.0434e+03   6.9519e+02   0.0000e+00  -3.7582e-07  -6.1505e-07   0.0000e+00   7.2078e-07
         192   3.1147e+03   7.5946e+02   0.0000e+00  -6.5559e-07  -1.9055e-07   0.0000e+00   6.8272e-07
         194   3.0101e+03   4.6891e+02   0.0000e+00  -1.1946e-06  -1.9853e-06   0.0000e+00   2.3170e-06
         198   3.0076e+03   6.5293e+01   0.0000e+00  -4.2230e-06  -5.7847e-07   0.0000e+00   4.2625e-06
