Listagem de informações criada por	PC
Data	05-Dec-2023 00:42:00
Peça de trabalho atual	C:\Users\PC\Desktop\nx\geometria final 2_fem1.fem
Nome do nó	HP


 
------------------------------------------------------------
 
              INFORMAÇÕES DE ELEMENTOS
 
------------------------------------------------------------
 
 
INFORMAÇÕES DE ELEMENTOS
  Etiqueta             | Tipo de Elemento | Malha          | Coletor de Malha | Nós Conectados
  1                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 2 162 163
  2                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 1 162 2
  3                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 3 163 164
  4                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 2 163 3
  5                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 4 164 165
  6                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 3 164 4
  7                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 5 165 166
  8                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 4 165 5
  9                    | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 6 166 167
  10                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 5 166 6
  11                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 7 167 168
  12                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 6 167 7
  13                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 8 168 169
  14                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 7 168 8
  15                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 9 169 183
  16                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 8 169 9
  17                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 9 183 143
  18                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 9 143 144
  19                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 11 144 145
  20                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 9 144 10
  21                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 10 144 11
  22                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 12 145 146
  23                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 11 145 12
  24                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 13 146 147
  25                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 12 146 13
  26                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 14 147 148
  27                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 13 147 14
  28                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 15 148 181
  29                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 14 148 15
  30                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 15 181 124
  31                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 15 124 125
  32                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 17 125 126
  33                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 15 125 16
  34                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 16 125 17
  35                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 18 126 127
  36                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 17 126 18
  37                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 19 127 128
  38                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 18 127 19
  39                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 20 128 129
  40                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 19 128 20
  41                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 21 129 130
  42                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 20 129 21
  43                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 22 130 131
  44                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 21 130 22
  45                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 23 131 132
